"ano","ubigeo","conglome","vivienda","hogar","codperso","dominio","estrato","sexo","p208a","estciv","lengua","ultani","razest","trabsp","catocu","tipcon","otrtra","interh","id_individuo","edad"
"2023","051001","005748","100","11","03","5","5","Mujer","19","6","4","7","6","Sí","5","7","No","Sí","051001_005748_100_11_03",19
"2023","050407","005766","015","11","03","7","8","Hombre","21","6","1","6","3","Sí","5","7","No","Sí","050407_005766_015_11_03",21
"2023","050509","005778","054","11","04","7","7","Mujer","20","5","4","6","5","No",NA,NA,NA,NA,"050509_005778_054_11_04",20
"2023","050509","005778","056","11","01","7","7","Hombre","28","1","1","3",NA,"Sí","4","7","No","Sí","050509_005778_056_11_01",28
"2023","050509","005778","056","11","02","7","7","Mujer","23","1","4","5","5","Sí","4","7","No","Sí","050509_005778_056_11_02",23
"2023","050509","005778","139","11","03","7","7","Hombre","19","6","4","6","2","Sí","4","7","Sí","Sí","050509_005778_139_11_03",19
"2023","050114","005787","007","11","03","5","7","Hombre","19","6","1","5",NA,"No","5","7","No","Sí","050114_005787_007_11_03",19
"2023","050114","005787","149","11","02","5","7","Hombre","18","6","1","6","2","Sí","4","7","No","Sí","050114_005787_149_11_02",18
"2023","050103","005795","012","11","03","5","7","Hombre","18","6","1","6","3","Sí","3","7","No","Sí","050103_005795_012_11_03",18
"2023","050103","005795","131","11","03","5","7","Mujer","19","6","1","6",NA,"No",NA,NA,NA,"Sí","050103_005795_131_11_03",19
NA,"051105","005814","178","11","04","5","7","Hombre","22","6",NA,NA,NA,NA,NA,NA,NA,NA,"051105_005814_178_11_04",22
"2023","050908","005839","054","11","03","5","6","Hombre","18","6","4","7",NA,"No",NA,NA,NA,"Sí","050908_005839_054_11_03",18
"2023","060101","005854","030","11","04","4","2","Mujer","27","1","4","11",NA,"No",NA,NA,NA,"Sí","060101_005854_030_11_04",27
